Date,Site,Cell,Technology,Band,PRB_Utilization,DL_Throughput_Mbps,UL_Throughput_Mbps,CQI,EUT_Mbps,Payload_GB,Availability
2026-08-01,SITE001,Cell001,4G,L1800,72,18.5,5.2,10,16.8,42.5,99.8
2026-08-01,SITE001,Cell002,4G,L1800,91,8.2,2.8,7,7.4,68.2,99.5
2026-08-01,SITE002,Cell003,4G,L900,65,12.4,4.1,11,11.6,35.7,99.9
2026-08-01,SITE002,Cell004,4G,L1800,88,9.5,3.1,8,8.7,61.4,99.6
2026-08-01,SITE003,Cell005,4G,L2100,45,32.6,8.4,13,29.8,28.3,99.9
2026-08-01,SITE003,Cell006,4G,L1800,95,5.8,2.1,6,5.2,75.6,99.2
2026-08-01,SITE004,Cell007,4G,L900,58,15.7,4.8,11,14.2,31.8,99.8
2026-08-01,SITE004,Cell008,4G,L1800,83,11.2,3.7,9,10.1,55.2,99.7
2026-08-01,SITE005,Cell009,4G,L2100,39,38.4,9.6,14,35.1,24.6,99.9
2026-08-01,SITE005,Cell010,4G,L1800,89,7.6,2.5,7,6.9,64.8,99.4
